post_id,original_text,caption,keywords,Harmful_Content,Political_Content,Spam,Copyright_Infringement,Is_Harmful_Content,Is_Political_Content,Is_Spam,Is_Copyright_Infringement
08291,white people is this a shooting range,A cat sitting on a table.,"['people', 'this', 'white', 'range', 'sitting', 'table.', 'shooting']",0.39373918325202867,0.7400099001154866,0.028751510941790112,0.014724931683527287,0,1,0,0
46971,bravery at its finest,A protest happening in a city street.,"['protest', 'finest', 'city', 'bravery', 'happening', 'street.']",0.16894445752466308,0.6047304810496706,0.12440608943128567,0.01222108984419723,0,0,0,0
03745,your order comes to $37.50 and your white privilege discount brings the total to $37.50,A protest happening in a city street.,"['your', 'white', 'comes', 'protest', 'city', 'privilege', 'discount', 'brings', 'total', 'happening', 'order', 'street.', '$37.50']",0.42966771570119533,0.352628529763068,0.14193863721615035,0.0564751088789784,0,0,0,0
83745,it is time.. to send these parasites back to the desert,Text overlaid on a movie scene.,"['movie', 'these', 'send', 'back', 'time..', 'overlaid', 'text', 'scene.', 'parasites', 'desert']",0.3734474517987782,0.07102353801208539,0.06267306429526509,0.06695933751047176,0,0,0,0
80243,mississippi wind chime,A person smiling at a camera.,"['chime', 'camera.', 'mississippi', 'person', 'smiling', 'wind']",0.37043355290529256,0.5659542609645215,0.20790815564951512,0.03358838856164165,0,0,0,0
05279,"knowing white people , that's probably the baby father",A protest happening in a city street.,"['probably', 'baby', 'people', 'white', 'protest', 'city', 'knowing', 'happening', ""that's"", 'street.', 'father']",-0.013812439680756045,0.5194629803207326,0.03353746526112311,0.07271801332216125,0,0,0,0
01796,life hack #23 how to get stoned with no weed,A protest happening in a city street.,"['with', 'protest', 'weed', 'life', 'city', 'happening', 'stoned', 'hack', 'street.']",0.10905714644348938,0.2913478013103954,0.013192611677203547,0.06539876941289516,0,0,0,0
53046,"you've heard of elf on a shelf, now get ready for",A cat sitting on a table.,"[""you've"", 'heard', 'ready', 'sitting', 'table.', 'shelf,']",0.21435673276958583,0.7903871463640623,0.28674785214066095,0.046831941104942376,0,1,0,0
82301,cooooooooooooon!!!!,A protest happening in a city street.,"['protest', 'city', 'cooooooooooooon!!!!', 'happening', 'street.']",0.22103485853090363,0.527717560573828,0.03669059187872529,0.05261432382018676,0,0,0,0
31752,when you get to choose your own mental illness,A person smiling at a camera.,"['camera.', 'choose', 'mental', 'person', 'illness', 'when', 'smiling', 'your']",0.1944162122904164,0.3584769120754818,0.20278708547558635,0.019682001117285942,0,0,0,0
27635,dat ass ahmarbkrich*d,A chart showing economic growth.,"['showing', 'chart', 'ahmarbkrich*d', 'economic', 'growth.']",0.3115961743301816,0.019261166961598297,0.1642327292446176,0.06771538197240194,0,0,0,0
80597,look! it says it right here! we can fuck goats!,Text overlaid on a movie scene.,"['here!', 'movie', 'look!', 'fuck', 'says', 'overlaid', 'text', 'goats!', 'scene.', 'right']",0.06949429396206683,0.31927169997244476,0.014990753034123803,0.04488132685034855,0,0,0,0
45368,enough is enough children are more important than freaks,A person smiling at a camera.,"['children', 'camera.', 'enough', 'freaks', 'than', 'important', 'person', 'smiling', 'more']",0.06069232431966863,0.9035804624941958,0.2130456926818379,0.045813371624092984,0,1,0,0
17963,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,Text overlaid on a movie scene.,"['polish', 'removes', 'with', 'movie', 'everybody', 'bats', 'shit', 'text', 'overlaid', 'loses', 'chemicals', 'nobody', 'scene.']",-0.0718091055608469,0.8542454315680185,0.23764601622442427,0.0628359308278052,0,1,0,0
53968,when you have an 80 point iq but it's the highest in your village,A chart showing economic growth.,"['village', 'showing', ""it's"", 'chart', 'when', 'point', 'have', 'growth.', 'highest', 'economic', 'your']",0.43442757528269127,0.8625831914327277,0.2561619152374236,0.09966915151030217,0,1,0,0
10749,my sense of humor is so dark it picks cotton,Text overlaid on a movie scene.,"['humor', 'sense', 'movie', 'dark', 'cotton', 'overlaid', 'picks', 'text', 'scene.']",0.06431114779756689,0.4347128835676888,0.2240734985335117,0.03306398204214931,0,0,0,0
25149,if this offends you you might be lack toes intolerant,A cat sitting on a table.,"['intolerant', 'toes', 'this', 'might', 'sitting', 'table.', 'lack', 'offends']",0.4018358027465472,0.013221274498926405,0.041212650198497146,0.001666971068124301,0,0,0,0
87520,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!",A cat sitting on a table.,"['trump', 'will', '""mexico', 'said', 'wall.', 'yes,', 'that', 'know', 'mexicans', 'sitting', 'good!!!!', 'table.', 'wall""']",0.45859074273358946,0.3178610866935325,0.19834994689155364,0.0793804983020345,0,0,0,0
89071,they don't wash their ass with water and they eat their daughters' ass,Text overlaid on a movie scene.,"['wash', 'movie', 'they', 'water', 'overlaid', ""daughters'"", ""don't"", 'text', 'with', 'their', 'scene.']",0.2278055841098789,0.02535106330161019,0.052276113377592824,0.06905667731003312,0,0,0,0
09563,safe sex isis style,A protest happening in a city street.,"['style', 'protest', 'city', 'isis', 'happening', 'street.', 'safe']",-0.039944955881518834,0.8645755762542578,0.286521002452735,0.023221186925764248,0,1,0,0
